Order_ID,Customer_ID,Order_Date,Order_Time,City,Area,Restaurant,Food_Item,Category,Quantity,Price,Delivery_Time_Min,Payment_Mode,Rating
O1,C7116,2025-03-04,00:06,Salem,Porur,Burger King,Dosa,Veg,4,325,38,Card,5.0
O2,C6623,2025-11-13,17:05,Trichy,Porur,KFC,Fried Rice,Non-Veg,5,232,18,UPI,3.5
O3,C4463,2025-05-11,04:21,Coimbatore,Velachery,SS Hyderabad,Parotta,Non-Veg,3,286,33,Cash,4.7
O4,C9648,2025-02-26,14:16,Salem,Velachery,Burger King,Sandwich,Veg,2,491,46,Cash,3.0
O5,C1307,2025-08-09,03:36,Salem,Anna Nagar,Dominos,Sandwich,Veg,4,321,26,Cash,4.4
O6,C4778,2025-02-07,19:53,Salem,Porur,A2B,Meals,Veg,4,122,30,Cash,4.0
O7,C1149,2025-12-31,14:17,Chennai,Velachery,A2B,Noodles,Non-Veg,4,378,49,Card,4.1
O8,C2330,2025-01-02,07:45,Trichy,Velachery,KFC,Fried Rice,Non-Veg,5,101,49,Card,3.9
O9,C6884,2025-08-09,15:55,Chennai,T Nagar,Dominos,Sandwich,Non-Veg,4,158,60,UPI,3.9
O10,C5106,2025-12-03,03:31,Coimbatore,Velachery,Dominos,Dosa,Veg,3,156,34,UPI,4.1
O11,C7070,2025-06-07,18:20,Coimbatore,T Nagar,SS Hyderabad,Dosa,Non-Veg,3,220,16,Cash,4.8
O12,C7453,2025-02-11,15:32,Trichy,Anna Nagar,Burger King,Biryani,Non-Veg,5,306,34,Cash,5.0
O13,C3618,2025-05-21,09:38,Madurai,Tambaram,Burger King,Fried Rice,Veg,5,330,54,Cash,4.5
O14,C6206,2025-03-28,17:46,Coimbatore,Anna Nagar,Burger King,Noodles,Non-Veg,5,276,34,Cash,4.0
O15,C4457,2025-06-12,17:20,Coimbatore,Anna Nagar,Burger King,Dosa,Veg,1,420,40,Card,3.2
O16,C8411,2025-03-11,16:23,Madurai,Tambaram,Dominos,Fried Rice,Non-Veg,4,428,60,UPI,3.4
O17,C2735,2025-11-27,19:16,Madurai,Anna Nagar,KFC,Pizza,Non-Veg,4,122,40,UPI,3.1
O18,C1088,2025-08-25,16:46,Chennai,T Nagar,A2B,Biryani,Veg,2,381,57,Cash,3.0
O19,C7709,2025-12-18,06:49,Trichy,Anna Nagar,Burger King,Noodles,Veg,1,194,39,Card,3.9
